time_E Nt_E LCL_E median_E UCL_E	time_W Nt_W LCL_W median_W UCL_W
115000 24300913.7646898 17102622.8875195 28593669.6660399 52739786.1715749	115000 113379944.809199 47276825.7953498 72980683.0404958 201129345.362921
116000 24624266.116443 17392751.4464972 28679016.4623979 52279627.7325544	116000 112742702.857341 46246674.0479973 73055197.0778432 207697788.163762
117000 24975824.9014529 17712783.1061747 28783685.7703506 51823823.2690084	117000 112103364.600429 45283437.0803544 73183294.5192156 214481316.701151
118000 25357652.7434557 18056237.0230461 28908425.2565181 51372408.4323372	118000 111462122.320071 44381562.4477253 73363762.9701938 221480634.806104
119000 25772083.4569517 18253946.5462287 29054105.4914325 50925418.9377757	119000 110819164.883724 43536119.9765938 73595567.4908631 228695454.2745
120000 26221762.6140741 18473062.9007041 29221734.0203494 50482890.3339252	120000 110174677.688564 42742717.8309466 73877833.4255967 236124403.898631
121000 26709696.037219 18715402.3485341 29326920.6387345 50129493.2528567	121000 109528842.611459 41997431.8819392 74209830.9438065 243764952.106894
122000 27239308.0429501 18983102.1111173 29111245.825598 49838710.0330715	122000 108881837.964864 41296745.983308 74590960.9975951 251613350.481438
123000 27814511.7640433 19248266.0904606 28904252.8833177 49557468.1927541	123000 108233838.458489 40637501.2373811 75020742.4394244 259664606.98009
124000 28439794.5377543 19256361.2866619 28705721.0699499 49286344.6930918	124000 107585015.16656 40016852.7123012 75498800.0730989 267912499.365236
125000 29120322.2282641 19284140.1576978 28515445.4804653 49025965.3964825	125000 106935535.500511 39432232.3657787 75067816.6076309 276349641.09296
126000 29862067.5332544 19106386.5906183 28333236.3464873 48777012.2696624	126000 106285563.186914 38881317.1633372 74090498.1054257 284967613.677759
127000 30671968.928598 18735038.2829624 28158918.4067365 48540233.7625364	127000 105635258.250491 38362001.563813 73151121.8186129 293757181.241514
128000 31558129.1056153 18386609.3604621 27992482.3406157 48326888.1204621	128000 104984777.001993 37872373.6925259 72247789.6596164 302708604.486498
129000 32530064.8093505 18060401.0770036 27890632.7184836 48146995.336145	129000 104334272.030796 37410694.6411787 71378733.4309767 311812072.600622
130000 33599024.2783408 17755826.0843771 28401984.8317631 48000500.3594902	130000 103683892.202 36975380.4293733 70542304.058544 321058272.512634
131000 34778394.6003603 17472408.5030292 28965504.9830908 47887551.4663076	131000 103033782.657859 36564986.2404373 69736961.8838945 330439115.389758
132000 36084230.1366028 17209785.6109278 29586277.8895306 47808512.1400779	132000 102384084.823353 36178192.6077229 68961267.8965862 339948640.275135
133000 37535946.1474511 16967711.3306279 30273963.4511549 47763977.4767684	133000 101734936.41572 35813793.279562 68213875.8020164 352217078.337879
134000 39157241.1525629 16746061.7628096 30956516.4958412 47754795.9110166	134000 101086471.457744 35470684.533883 67493524.8336641 370579120.956235
135000 40977341.1083828 16547588.8921817 30822108.726633 47782097.3260619	135000 100438820.294651 35147855.7488996 66799033.2297199 390423263.710793
136000 43005197.8881284 16376741.0608315 30764155.2852659 48113498.4271933	136000 99792109.6143884 34844381.0656691 66129292.3037957 411931940.602662
137000 45192208.0454913 16231065.0452697 30773661.7407658 49111569.0692114	137000 99146462.471141 34559412.0028134 65483261.0477972 435317519.144304
138000 47550301.4163458 16108625.0801013 30872212.9815888 50370099.6633958	138000 98501998.3118918 34292170.9041844 64859961.2123232 460827782.645094
139000 50097789.0579178 16007759.21537 31016818.4423637 51818439.6173824	139000 97858833.0058525 34041945.1174664 64258472.8162899 488752442.009208
140000 52855497.5553674 15927038.4076309 31164642.3798381 53298493.4311625	140000 97217078.8765966 33808081.8162068 63677930.0429943 519430871.677047
141000 55847195.139564 15865233.0550202 31315766.0718957 54808445.0463524	141000 96576844.7367238 33589983.3900379 63117517.4846554 553261296.244044
142000 59100104.4013513 15751275.7442998 31470273.6195034 56693775.332625	142000 95938235.9248927 33387103.3382604 62576466.7016884 590711684.446325
143000 62645522.300056 15562780.6970798 31628252.0670866 59516274.3043777	143000 95301354.3450596 33198942.6108345 62054053.0666673 632332628.210318
144000 66519573.8961087 15388769.9684525 31789791.5290981 63261164.7848951	144000 94666298.5077673 33025046.3484027 61549592.8661814 678772482.400473
145000 70764133.7880091 15228338.8839002 31954985.3231529 67393599.8835468	145000 94033163.5733308 32865000.9794804 61062440.6366536 730794990.682405
146000 75427959.257093 15080683.469594 32123930.1101294 71972526.761631	146000 93402041.3967713 32718431.6385501 60591986.7127095 791536047.456766
147000 80568092.5397679 14945088.5817703 32296726.0416638 77068847.7991742	147000 92773020.5743545 32584999.8736448 60137654.9689156 864164274.01879
148000 86251607.7623264 14820917.8253322 32473476.9154956 82768436.2069328	148000 92146186.4915938 32464401.6162141 59698900.7376791 946289203.882858
149000 92557802.7622629 14707604.9660091 32654290.3391552 89176063.0766652	149000 91521621.3725822 32356365.3897351 59275208.8878454 1039403511.52773
150000 99580970.0012586 14604646.5964364 32839277.9025181 96420560.0018997	150000 90899404.3305245 32260650.7367539 58866092.0500865 1145226158.98046
151000 107433928.040956 14511595.8610172 33161868.6450876 104661675.380359	151000 90279611.4193413 32177046.8468782 58471088.9765515 1265709158.27475
152000 116252561.5398 14428057.0799961 33547123.4519703 114099280.072043	152000 89662315.6862258 32105371.3707612 58169084.1831382 1403019551.93888
153000 126201712.385742 14353681.1417803 33946488.2642532 124985873.438851	153000 89047587.2250362 32045469.407367 58041183.5837655 1559475303.02999
154000 137482901.090283 14288161.5557073 34360549.9253489 137668968.072464	154000 88435493.2304114 31997212.653835 57924922.3947896 1737401247.2289
155000 150344557.191795 14231231.0763253 34866069.6240072 152610046.862185	155000 87826098.0525035 31960498.709104 57820195.4452173 1938854557.22451
156000 165095733.72929 14182658.8257303 35558882.5207647 170289869.462594	156000 87219463.2522246 31935250.5241493 57726914.2839231 2165151005.8603
157000 182124727.862117 14142247.8532935 36273182.6096499 191428652.166159	157000 86615647.6569095 31921415.993262 57645006.9181811 2416113455.4445
158000 201924716.016103 14109833.0827534 37009818.8605967 216994272.041398	158000 86014707.4163008 31918967.682279 57574417.6149491 2688986082.78092
